H1604E,eqwe,0000,12/31/2019,N,0,
D3,1604E,eqwe,0000,12/31/2019,12,,0000,CC SDD VV4,VV4,CC,SDD,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,11,,0000,CC SDD VV3,VV3,CC,SDD,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,10,,0000,CC SDD VV2,VV2,CC,SDD,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,9,,0000,CC SDD VV1,VV1,CC,SDD,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,8,,0000,assadsadsad sadsadasd sadsdaasdasd,sadsdaasdasd,assadsadsad,sadsadasd,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,7,,0000,3123 12312 3123123,3123123,3123,12312,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,6,,0000,3123 123123 123123,123123,3123,123123,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,5,,0000,132312 132231 31221313212,31221313212,132312,132231,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,4,,0000,1231 2312312 3123123,3123123,1231,2312312,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,3,,0000,123 123 123123,123123,123,123,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,2,123213,0000,qweqweq qwe qweqwewq,qweqwewq,qweqweq,qwe,DI900,0.00
D3,1604E,eqwe,0000,12/31/2019,1,123213,0000,qweqweq qwe qweqwewq,qweqwewq,qweqweq,qwe,DI900,0.00
C3,1604E,eqwe,0000,12/31/2019,0
D4,1604E,eqwe,0000,12/31/2019,324,,0000,CC SDD VV4,VV4,CC,SDD,WC010,,3.00,0.00,0.00
D4,1604E,eqwe,0000,12/31/2019,323,,0000,CC SDD VV3,VV3,CC,SDD,WC010,,3.00,0.00,0.00
D4,1604E,eqwe,0000,12/31/2019,322,,0000,CC SDD VV2,VV2,CC,SDD,WC010,,3.00,0.00,0.00
D4,1604E,eqwe,0000,12/31/2019,321,,0000,CC SDD VV1,VV1,CC,SDD,WC010,,3.00,0.00,0.00
D4,1604E,eqwe,0000,12/31/2019,320,,0000,assadsadsad sadsadasd sadsdaasdasd,sadsdaasdasd,assadsadsad,sadsadasd,WC010,,10.00,0.00,0
D4,1604E,eqwe,0000,12/31/2019,319,,0000,3123 12312 3123123,3123123,3123,12312,WC010,,10.00,0.00,0
D4,1604E,eqwe,0000,12/31/2019,318,,0000,3123 123123 123123,123123,3123,123123,WC010,,10.00,0.00,0
D4,1604E,eqwe,0000,12/31/2019,317,,0000,132312 132231 31221313212,31221313212,132312,132231,WC010,,10.00,0.00,0
D4,1604E,eqwe,0000,12/31/2019,316,,0000,1231 2312312 3123123,3123123,1231,2312312,WC010,,10.00,0.00,0
D4,1604E,eqwe,0000,12/31/2019,315,,0000,123 123 123123,123123,123,123,WC010,,10.00,0.00,0
D4,1604E,eqwe,0000,12/31/2019,314,123213,0000,qweqweq qwe qweqwewq,qweqwewq,qweqweq,qwe,WC010,,10.00,0.00,0
D4,1604E,eqwe,0000,12/31/2019,313,123213,0000,qweqweq qwe qweqwewq,qweqwewq,qweqweq,qwe,WC010,,10.00,0.00,0
C4,1604E,eqwe,0000,12/31/2019,0,0
